drug,n_test,pos_rate_test,Lasso_AUC,Lasso_AUC_CI_lo,Lasso_AUC_CI_hi,Lasso_AUPRC,Lasso_Brier,Lasso_best_C,Lasso_class_weight,KNN_AUC,KNN_AUC_CI_lo,KNN_AUC_CI_hi,KNN_AUPRC,KNN_Brier,KNN_best_k,Ridge_MSE,Ridge_best_alpha,Lasso_H0_AUC_p_raw,DeLong_p_raw,DeLong_z,Lasso_H0_AUC_q_FDR,Lasso_AUC_signif_vs_0.5,DeLong_q_FDR,Lasso_vs_KNN_signif
amphet,376,0.23138297872340424,0.8446883824523724,0.8001331489493705,0.8862242130518637,0.6145642087580057,0.13095256995465493,0.31622776601683794,None,0.7982738734439009,0.7431130838194417,0.847878280292413,0.5207869722680716,0.1439412234042553,100,2.3143641081361794,1.0,0.0,0.39993479247738195,0.8417376971235369,0.0,True,0.7020530464867725,False
amyl,376,0.06914893617021277,0.7478021978021978,0.6674828327531092,0.8182631490976392,0.148232772489773,0.2131758642771086,0.03162277660168379,balanced,0.6627472527472528,0.5507726144703222,0.7644013912513362,0.14623189667500408,0.06309095744680851,100,0.9372970815699907,1.0,6.29390023620946e-06,0.5993741406710222,0.5253007434404044,6.74346453879585e-06,True,0.817328373642303,False
benzos,376,0.2845744680851064,0.7973109126915192,0.750003021359457,0.843241695104921,0.6307617716565148,0.15886038816227935,0.31622776601683794,None,0.7646006323176875,0.7112784460819129,0.8153279878663447,0.5588296973185475,0.17002234042553194,100,2.645017311224907,0.03162277660168379,0.0,0.49473042448975835,0.6828044387576542,0.0,True,0.7420956367346375,False
cannabis,376,0.5292553191489362,0.903812849558527,0.871707538843939,0.9318922748057334,0.9134452235568059,0.1255799154782317,1.0,None,0.8213241347982853,0.7772119328779418,0.8615693334342341,0.8075863190735431,0.17209148936170213,50,2.720800318449517,3.1622776601683795,0.0,0.029108322709865186,2.1820163955067757,0.0,True,0.4332592244290845,False
coke,376,0.22074468085106383,0.7709609770138574,0.714071076325366,0.8237588325172218,0.45494398585760676,0.1457690185082811,1.0,None,0.724392450347465,0.6652001336603163,0.781286280400171,0.3911158676260093,0.1546478723404255,50,1.872420735366466,0.0001,0.0,0.4212318278920635,0.804285988337015,0.0,True,0.7020530464867725,False
crack,376,0.0425531914893617,0.7649305555555556,0.6302971023487554,0.8816365857020338,0.15523121866615386,0.20879168715937715,31.622776601683793,balanced,0.6637152777777777,0.5224016277283323,0.7992454117063491,0.16495050044329426,0.04012712765957447,100,0.6437494866401369,0.0001,8.662466831388382e-05,0.7807020381398198,0.27840427509415305,8.662466831388382e-05,True,0.886868367344465,False
ecstasy,376,0.27393617021276595,0.810555140652228,0.7625735756935768,0.8567282659073976,0.593696294607177,0.15121455610270704,0.31622776601683794,None,0.7379885486681603,0.6828390415784604,0.7923353250852339,0.4710371702330944,0.1720593085106383,100,1.879467945541971,0.31622776601683794,0.0,0.20071138523013543,1.279527433948273,0.0,True,0.5192406959025614,False
heroin,376,0.06382978723404255,0.8379498106060606,0.7638109510873818,0.8995,0.29178426793793344,0.20425885837292257,1.0,balanced,0.7643229166666666,0.664566238968236,0.8583583619774201,0.22246841001494377,0.056042021276595744,100,1.0420732421039969,0.0001,2.3913093727401247e-11,0.6848863110919519,0.40580441955904745,3.260876417372897e-11,True,0.8561078888649398,False
ketamine,376,0.10904255319148937,0.7503458318165271,0.676058502785847,0.8274696910014006,0.2822035313059721,0.1941587424927067,0.31622776601683794,balanced,0.7617400800873682,0.6832155125637392,0.8394520214112254,0.2822855491983634,0.08868324468085105,100,1.3715219691928395,0.0031622776601683794,1.950767980485324e-08,0.9268983538862894,-0.09174788146200262,2.438459975606655e-08,True,0.9268983538862894,False
legalh,376,0.2978723404255319,0.8755749458874458,0.8367911822016224,0.9101557387912637,0.6742227815134177,0.1310870489237069,1.0,None,0.8133116883116882,0.7634340562464476,0.8605084464836035,0.6408827900020859,0.16036303191489362,100,1.975352986651642,3.1622776601683795,0.0,0.17509031150423615,1.3560278361397222,0.0,True,0.5192406959025614,False
lsd,376,0.19946808510638298,0.8934662236987818,0.8551883591743046,0.9262745053043611,0.6535823068059448,0.10227302383044923,0.31622776601683794,None,0.7632115171650056,0.7036325667759582,0.818578429899069,0.45875514928236255,0.1371497340425532,100,1.4294071908370103,1.0,0.0,0.0866518448858169,1.7133300073739557,0.0,True,0.4332592244290845,False
meth,376,0.1702127659574468,0.8517628205128206,0.8043720710858183,0.899107170054443,0.4929687708009008,0.10680926319480327,1.0,None,0.7136418269230769,0.645175599157227,0.7793983547213412,0.3047574719408597,0.13047659574468087,50,2.1622096834628293,1.0,0.0,0.08427530567884478,1.726400946239463,0.0,True,0.4332592244290845,False
mushrooms,376,0.22872340425531915,0.8424218123496391,0.7933950582922261,0.8866479865493843,0.5817235207932793,0.12684393757514867,100.0,None,0.7574578989574979,0.7060439876073259,0.8075001241466914,0.40038556839208345,0.15269840425531914,100,1.4188620537182575,0.03162277660168379,0.0,0.20769627836102456,1.2599253903650123,0.0,True,0.5192406959025614,False
nicotine,376,0.5611702127659575,0.7469768777825649,0.6959114369168817,0.794496933567814,0.7891286467841598,0.20259869915631995,0.31622776601683794,None,0.7027430705155824,0.6494783062342405,0.7543240010345275,0.7543274486926188,0.21598962765957444,100,4.979234757367688,3.1622776601683795,0.0,0.27803000141835343,1.0847554053461417,0.0,True,0.5957785744679002,False
vsa,376,0.05053191489361702,0.8012678755712811,0.6942941779892841,0.8881089700582654,0.15386805817661864,0.1994939850080026,0.01,balanced,0.7317558602388323,0.6171949413670673,0.8327189066416039,0.10506645429623865,0.04644867021276596,100,0.7988210144619398,3.1622776601683795,5.304053652954721e-07,0.8277438095215006,0.2175961178572702,6.120061907255446e-07,True,0.886868367344465,False
