drug,feature,beta,exp_beta_odds_ratio,ci_lower,ci_upper,ci_excludes_zero
amphet,nscore,0.03866014217729467,1.0394171695591508,-0.06773527548090987,0.19355558530848854,False
amphet,escore,0.0,1.0,-0.1409532923864071,0.12527532006287775,False
amphet,oscore,0.08501100476429015,1.088729047839021,-0.03744357644202348,0.24361155114239014,False
amphet,ascore,-0.10565233449068226,0.8997374013679064,-0.2435096352840447,0.0021839093593226323,False
amphet,cscore,-0.11247038422547023,0.8936238120779564,-0.2693397887306343,0.03594005950700292,False
amphet,impuslive,0.2283257000796265,1.2564944991531948,0.05377358333333034,0.4247049683270039,True
amphet,ss,0.25201415115855663,1.286614244238187,0.04531120537008319,0.45210943814993165,True
amyl,nscore,0.0,1.0,-0.00031213350381944604,0.18099272141250228,False
amyl,escore,0.0,1.0,-0.2007764801093891,0.03253803448400008,False
amyl,oscore,0.0,1.0,-0.06695256575311691,0.14587927492075162,False
amyl,ascore,-0.24956449826004273,0.7791400260326007,-0.4468053204601154,-0.026128792471050433,True
amyl,cscore,0.0,1.0,-0.18217668020990738,0.026909552272430293,False
amyl,impuslive,0.0,1.0,-0.15681227588317234,0.04461497531368289,False
amyl,ss,0.3382165277267218,1.4024441385725974,0.09617054453029279,0.6125470222098166,True
benzos,nscore,0.41747336352398823,1.5181209659672303,0.29211619071142303,0.5836137506595628,True
benzos,escore,0.007231344993088716,1.0072575543063997,-0.11096586526719687,0.1572414288391688,False
benzos,oscore,0.1581137160817953,1.1712993827111282,0.013601205444105202,0.30726945434378633,True
benzos,ascore,-0.08669273937874566,0.9169587976828033,-0.2263629838556315,0.013084789585372176,False
benzos,cscore,0.029014903673595716,1.0294399367976064,-0.0825770765661676,0.18524795669907065,False
benzos,impuslive,0.08842641292776647,1.09245385917151,-0.028598451722796923,0.26356515266696273,False
benzos,ss,0.20036294687298137,1.2218461429295855,0.00791970262274915,0.36237365231436325,True
cannabis,nscore,-0.12940229922342936,0.8786204261209157,-0.32479543515641274,0.028118496681572642,False
cannabis,escore,-0.05666807172044137,0.9449076588925862,-0.24538254029689308,0.11683206182983168,False
cannabis,oscore,0.5639331183527394,1.7575716611509078,0.40507154765163594,0.7452078530490099,True
cannabis,ascore,0.03668755766272489,1.037368852249985,-0.11461473621887155,0.1975316368739257,False
